2 0.88 -9.76 -6.36 29.11
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R-0.36 -0.01 0.92 2.11 4.99 -3.57
-0.22 -0.09 0.97 7.22 8.30 3.20
-0.30 0.05 0.88 2.08 9.84 -9.61
-0.39 -0.01 0.93 0.71 27.88 -1.69
-0.34 0.05 0.91 -0.20 -4.40 -34.28
-0.26 0.21 0.88 7.92 -24.34 -62.14
-0.16 0.06 0.85 15.10 23.41 -27.60
-0.43 0.15 0.89 4.52 13.98 -7.58
-0.28 -0.04 0.98 12.08 10.35 -14.62
-0.49 0.09 0.88 5.14 9.08 -10.66
-0.46 -0.14 0.95 7.53 -23.40 6.93
-0.28 0.14 1.00 -29.77 -97.25 11.67
0.05 0.24 1.23 -08 39.61 -161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R115.30 -70.70 36.93
-0.15 -0.41 0.33 -144.51 137.35 82.63
-0.52 -0.29 1.10 -40.54 86.00 148.00
-0.86 -0.41 0.82 154.04 35.29 93.21
-0.77 -0.07 0.55 122.31 -170.25 187.07
0.40 0.59 0.40 -46.48 -241.36 204.54
-0.13 0.83 0.97 -109.03 107.77 113.38
-0.25 -0.03 1.27 -90.25 75.84 166.44
-0.59 -0.06 1.35 -82.18 124.34 120.65
-0.49 -0.16 0.61 -54.81 86.59 172.28
-0.22 0.06 0.49 -20.39 -50.81 50.64
-0.73 0.32 1.45 -58.77 -193.55 19.00
-1 -161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R0.12 0.14 0.66 -236.79 -39.73 81.06
-0.70 -0.52 1.72 -101.97 -47.13 78.88
-0.21 -0.44 0.42 -40.09 -72.56 100.93
0.12 -0.17 0.23 20.24 -76.29 139.22
0.37 -0.23 0.90 215.24 -198.07 116.96
0.89 0.24 -0.04 117.67 249.99 216.05
-0.92 0.51 0.55 -55.89 249.99 171.25
-1.10 0.18 0.86 -88.71 96.85 14.92
-1.60 -0.51 1.98 -118.09 -250.00 -7.23
-0.62 -0.05 1.05 -44.45 -91.59 78.79
0.00 0.15 -0.13 -87.30 -114.91 78.19
0.36 -0.56 0.75 39.66 -2 -161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R26.68 24.84
0.41 0.22 1.81 178.22 -250.00 208.08
0.03 0.52 0.63 -110.29 249.99 150.67
-0.52 -0.09 0.77 -145.78 249.99 12.20
-1.37 -0.58 2.00 120.14 -89.58 33.90
-0.64 0.06 0.92 -53.18 -120.42 28.91
-0.02 0.28 0.24 -62.13 -208.85 83.70
0.72 -0.19 2.00 50.48 -250.00 23.69
0.34 -0.31 1.57 59.38 41.16 165.76
0.33 -0.04 0.08 -16.89 249.99 129.02
-0.21 0.01 0.17 -48.00 249.99 0.47
-1.51 -0.29 1.98 86.98 13.82 57.37
-0.42 -0.32 1.42 -3 -161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R5.90 -164.59 -2.86
0.11 0.29 0.63 -52.49 -250.00 -31.33
0.61 -0.22 0.11 -10.65 -110.82 47.36
0.65 0.07 1.56 105.99 42.01 23.73
-0.29 0.32 1.03 -2.93 249.99 134.23
-0.77 0.31 0.49 -89.25 249.99 102.50
-0.56 0.04 0.26 -127.30 -1.82 -7.08
-0.63 -1.19 2.00 178.54 -250.00 -46.42
0.17 0.36 1.11 30.00 -250.00 -32.19
0.55 0.40 -0.10 1.85 8.89 55.25
0.35 -0.00 0.60 18.80 89.41 53.65
0.62 -0.18 1.40 -38.86 178.29 -27.09
-0.35 0.37 0.69 -38.161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R09 245.36 -21.14
-0.24 0.10 0.18 -57.17 194.27 3.85
-0.85 -0.11 2.00 17.51 -14.35 9.68
-0.74 -0.60 1.04 -26.89 25.00 25.74
-0.28 -0.02 0.94 -66.99 -204.45 -9.61
0.28 0.04 0.49 -46.08 -217.42 32.33
0.78 -0.54 0.40 149.45 34.27 -45.81
-0.03 -0.52 1.17 57.36 75.81 109.08
-0.11 0.04 0.42 25.54 125.00 69.73
-0.09 -0.20 0.46 42.95 177.71 36.30
-0.60 -0.02 1.62 -14.07 116.51 52.81
-0.65 0.14 1.26 -32.49 44.72 40.79
-0-0.35 0.37 0.69 -38.161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
-0.28 0.04 0.98 5.50 6.60 -19.75
-0.27 0.02 0.91 -1.87 7.50 -21.10
.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R.42 -0.00 1.08 -20.65 -42.34 34.81
-0.40 0.17 0.93 -36.79 -69.62 52.86
-0.29 0.08 0.88 -62.44 -64.46 77.12
0.47 -0.18 0.84 17.47 -119.48 47.48
0.04 -0.12 0.55 14.12 171.84 54.57
-0.63 0.04 1.24 -14.66 52.87 -16.05
-0.02 -0.05 0.84 -42.56 -17.94 -73.30
-0.11 -0.12 0.78 -25.89 72.75 -107.34
